Australia,Australian Capital Territory,4010,210051,572,13863,11078,785,183976
Belgium,Antwerp,303202,249566,260967,184728,252893,226576,139220
Brazil,Acre,88384,242080,126981,433813,1270858,956325,519811
Canada,Alberta,361623,254849,0,13,80096,14272,4155
Chile,Antofagasta,66965,104150,28966,30824,10311,167762,54839
China,Anhui,1009,1211,611,1363,356,3457,622
Colombia,Amazonas,7078,793448,14513,343876,162408,107110,101895
France,French Guiana,47631,46382,55795,48123,21911,12826,76602
Germany,Baden-Wurttemberg,1021855,1331261,331233,244380,48483,141452,481831
India,Andaman and Nicobar Islands,7728,2077145,55343,620765,726896,65895,1008187
Italy,Abruzzo,106573,36295,111746,583262,536922,156092,505274
Japan,Aichi,107096,1934,5902,100673,5412,3117,74788
Malaysia,Johor,244940,168386,169043,76290,113564,95346,129039
Mexico,Aguascalientes,39263,91570,61831,24356,23654,80715,1003554
Netherlands,Aruba,20461,3406,21325,63748,72817,97870,358166
Pakistan,Azad Jammu and Kashmir,34662,33638,10429,108666,181402,445107,482029
Peru,Amazonas,32788,81076,26798,117672,35090,67352,103791
Russia,Adygea Republic,27259,119383,25329,54386,123361,81130,121732
Spain,Andalusia,944337,214247,96040,130704,628453,149021,59700
Sweden,Blekinge,15508,32477,41608,5049,48813,14847,49308
Ukraine,Zhytomyr Oblast,140441,128993,94726,119385,126877,242142,167885
United Kingdom,Guernsey,7802,1674,6420,3492,8818,0,10988851
US,Alabama,3509,5560,19507,78903,3538,37879,23831
